12,2,4,7,9,2,2,3,1,2,2,4,1,2
12,2,7,7,9,2,2,3,1,2,2,7,1,2
12,2,7,7,9,2,2,3,1,2,2,7,2,2
12,2,9,7,9,2,2,3,1,2,2,7,2,2
12,11,9,10,9,2,2,3,1,2,8,7,2,2
12,11,9,10,9,2,2,3,2,2,8,7,1,0
12,0,7,1,2,2,3,1,2,2,6,2,0
12,0,7,1,2,2,3,1,2,2,3,2,0
11,2,11,7,9,2,2,3,1,2,8,11,2,0
11,2,10,7,9,2,2,3,1,2,8,5,2,0
11,2,10,7,3,2,2,3,1,2,8,5,2,0
12,11,9,10,9,2,2,3,2,2,8,7,2,0
12,0,7,1,2,0,0,1,0,2,3,3,3,0
12,0,7,1,2,0,0,1,0,0,3,3,3,0
12,3,7,1,2,0,0,1,2,0,3,3,3,2
12,3,7,1,7,0,0,1,2,2,3,3,3,2
12,3,7,1,3,0,0,1,2,1,3,3,3,2
12,11,7,1,7,0,0,1,2,2,11,11,3,2
12,11,7,1,7,0,0,1,2,2,11,4,3,2
12,11,7,1,7,0,0,1,2,2,6,4,3,2
